grade,track,subject,book,chapter,topic,subtopic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,explanation,source,source_type,source_year
یازدهم,تجربی,زیست‌شناسی,زیست‌شناسی ۲,فصل ۱,گردش خون,,متوسط,کدام رگ خون را از قلب دور می‌کند؟,سیاهرگ,سرخرگ,مویرگ لنفی,مجرای صفراوی,B,سرخرگ‌ها خون را از قلب دور می‌کنند.,ترنم همدلی,original,1405
یازدهم,تجربی,زیست‌شناسی,زیست‌شناسی ۲,فصل ۱,ژنتیک,,متوسط,ژن را می‌توان چه دانست؟,واحدی از اطلاعات وراثتی,نوعی بافت,یک اندام,نوعی قند,A,ژن بخشی از DNA است که اطلاعات وراثتی مشخصی را دربر دارد.,ترنم همدلی,original,1405
یازدهم,تجربی,شیمی,شیمی ۲,فصل ۱,محلول‌ها,,متوسط,افزایش دما در بسیاری از جامدات چه اثری بر انحلال‌پذیری دارد؟,همیشه صفر می‌کند,معمولاً افزایش می‌دهد,همیشه کاهش می‌دهد,هیچ‌گاه تغییر نمی‌دهد,B,برای بسیاری از جامدات، انحلال‌پذیری با افزایش دما بیشتر می‌شود.,ترنم همدلی,original,1405
یازدهم,تجربی,شیمی,شیمی ۲,فصل ۱,اسید و باز,,متوسط,pH کمتر از 7 معمولاً نشان‌دهنده چه محیطی است؟,بازی,خنثی,اسیدی,نمکی,C,pH کمتر از 7 اسیدی است.,ترنم همدلی,original,1405
یازدهم,تجربی,فیزیک,فیزیک ۲,فصل ۱,الکتریسیته,,متوسط,واحد مقاومت الکتریکی چیست؟,ولت,آمپر,اهم,وات,C,واحد مقاومت اهم است.,ترنم همدلی,original,1405
یازدهم,تجربی,فیزیک,فیزیک ۲,فصل ۱,انرژی,,متوسط,توان الکتریکی از کدام رابطه به‌دست می‌آید؟,P=VI,P=V/I,P=I/V,P=V+I,A,توان الکتریکی P=VI است.,ترنم همدلی,original,1405
یازدهم,تجربی,ریاضی,ریاضی ۲,فصل ۱,حد,,متوسط,حد تابع در یک نقطه بیشتر به چه چیزی مربوط است؟,رفتار تابع در نزدیکی آن نقطه,نام تابع,تعداد ضرایب,واحد اندازه‌گیری,A,حد رفتار تابع را هنگام نزدیک شدن به نقطه بررسی می‌کند.,ترنم همدلی,original,1405
یازدهم,تجربی,ریاضی,ریاضی ۲,فصل ۱,احتمال,,متوسط,احتمال آمدن عدد زوج در یک تاس سالم شش‌وجهی چیست؟,1/6,1/3,1/2,2/3,C,سه حالت زوج از شش حالت ممکن داریم؛ 3/6=1/2.,ترنم همدلی,original,1405
یازدهم,تجربی,هویت و زندگی,هویت و زندگی ۲,فصل ۱,مهارت‌های زندگی,,متوسط,کدام مورد نمونه‌ای از خودنظم‌دهی است؟,رها کردن کارها,تعیین هدف و پیگیری آن,نادیده گرفتن زمان,تغییر مداوم تصمیم بدون دلیل,B,خودنظم‌دهی شامل هدف‌گذاری، برنامه‌ریزی و پیگیری است.,ترنم همدلی,original,1405
دوازدهم,تجربی,زیست‌شناسی,زیست‌شناسی ۳,فصل ۱,ژنتیک,,متوسط,اگر یک صفت اتوزومی مغلوب باشد، فرد دارای ژنوتیپ Aa از نظر این صفت چگونه است؟,مبتلا,ناقل,همیشه فاقد ژن,همیشه هموزیگوت,B,در مدل ساده، Aa فنوتیپ غالب و ناقل آلل مغلوب است.,ترنم همدلی,original,1405
دوازدهم,تجربی,زیست‌شناسی,زیست‌شناسی ۳,فصل ۱,تنظیم عصبی,,متوسط,انتقال پیام در محل اتصال دو یاخته عصبی عمدتاً با چه واسطه‌ای انجام می‌شود؟,هورمون‌های تیروئیدی,ناقل عصبی,هموگلوبین,انسولین,B,در سیناپس شیمیایی ناقل عصبی پیام را منتقل می‌کند.,ترنم همدلی,original,1405
دوازدهم,تجربی,شیمی,شیمی ۳,فصل ۱,تعادل,,متوسط,در تعادل شیمیایی، سرعت واکنش رفت و برگشت چه رابطه‌ای دارند؟,هر دو صفرند,برابرند,یکی همیشه بیشتر است,فقط واکنش رفت ادامه دارد,B,در تعادل پویا سرعت رفت و برگشت برابر است.,ترنم همدلی,original,1405
دوازدهم,تجربی,شیمی,شیمی ۳,فصل ۱,الکتروشیمی,,متوسط,در یک پیل گالوانی، انرژی شیمیایی عمدتاً به چه انرژی تبدیل می‌شود؟,هسته‌ای,الکتریکی,نورانی فقط,صوتی,B,واکنش خودبه‌خودی پیل گالوانی انرژی الکتریکی ایجاد می‌کند.,ترنم همدلی,original,1405
دوازدهم,تجربی,فیزیک,فیزیک ۳,فصل ۱,نوسان,,متوسط,در حرکت هماهنگ ساده، شتاب نسبت به جابه‌جایی چه رابطه‌ای دارد؟,هم‌جهت و ثابت,متناسب و خلاف جهت,صفر در همه نقاط,مستقل از جابه‌جایی,B,شتاب در SHM متناسب با منفی جابه‌جایی است.,ترنم همدلی,original,1405
دوازدهم,تجربی,فیزیک,فیزیک ۳,فصل ۱,مدار,,متوسط,اگر دو مقاومت برابر به صورت موازی وصل شوند، مقاومت معادل نسبت به هر مقاومت چگونه است؟,بیشتر,برابر,کمتر,نامحدود,C,در موازی، مقاومت معادل از کوچک‌ترین مقاومت هم کمتر است.,ترنم همدلی,original,1405
دوازدهم,تجربی,ریاضی,ریاضی ۳,فصل ۱,مشتق,,متوسط,مشتق x² در نقطه x=3 چند است؟,3,6,9,12,B,مشتق x² برابر 2x است؛ در 3 برابر 6.,ترنم همدلی,original,1405
دوازدهم,تجربی,ریاضی,ریاضی ۳,فصل ۱,احتمال,,متوسط,اگر احتمال موفقیت در یک آزمایش 0.8 باشد، احتمال شکست آن چقدر است؟,0.1,0.2,0.4,0.8,B,احتمال متمم = 1-0.8=0.2.,ترنم همدلی,original,1405
دوازدهم,تجربی,فارسی,فارسی ۳,فصل ۱,قرابت,,متوسط,کدام مفهوم به «پایداری در سختی» نزدیک‌تر است؟,تاب‌آوری,شتاب,غفلت,تفریح,A,تاب‌آوری به توان ادامه دادن و سازگاری در شرایط دشوار نزدیک است.,ترنم همدلی,original,1405
دوازدهم,تجربی,عربی,عربی ۳,فصل ۱,ترجمه,,متوسط,معنی «یجتهد الطالب» کدام است؟,دانش‌آموز تلاش می‌کند,دانش‌آموز تلاش کرد,دانش‌آموز خواهد خوابید,دانش‌آموز می‌نویسد,A,«یجتهد» فعل مضارع از ریشه جهد است و یعنی تلاش می‌کند.,ترنم همدلی,original,1405
دهم,ریاضی,ریاضی,ریاضی ۱,فصل ۱,تابع,,متوسط,دامنه تابع 1/(x-2) شامل کدام عدد نیست؟,0,1,2,3,C,مخرج نباید صفر شود؛ بنابراین x=2 از دامنه حذف می‌شود.,ترنم همدلی,original,1405
دهم,ریاضی,ریاضی,ریاضی ۱,فصل ۱,دنباله,,متوسط,در دنباله حسابی 3، 7، 11، ... اختلاف مشترک چیست؟,2,3,4,5,C,هر جمله 4 واحد بیشتر از قبلی است.,ترنم همدلی,original,1405
دهم,ریاضی,فیزیک,فیزیک ۱,فصل ۱,کار و انرژی,,متوسط,اگر نیروی ثابت 10 نیوتن جسم را 3 متر در جهت نیرو جابه‌جا کند، کار انجام‌شده چند ژول است؟,3,10,13,30,D,W=Fd=10×3=30 J.,ترنم همدلی,original,1405
دهم,ریاضی,شیمی,شیمی ۱,فصل ۱,استوکیومتری,,متوسط,در واکنش‌های شیمیایی، ضرایب معادله موازنه‌شده چه چیزی را نشان می‌دهند؟,نسبت‌های مولی,جرم دقیق هر ماده,دمای واکنش,رنگ مواد,A,ضرایب موازنه‌شده نسبت‌های مولی واکنش‌دهنده‌ها و فرآورده‌ها را نشان می‌دهند.,ترنم همدلی,original,1405
دهم,انسانی,اقتصاد,اقتصاد ۱,فصل ۱,مفاهیم پایه,,متوسط,کمیابی منابع یعنی چه؟,همه منابع نامحدودند,منابع در برابر خواسته‌ها محدودند,تقاضا وجود ندارد,تولید همیشه صفر است,B,کمیابی یعنی منابع محدودند اما خواسته‌های انسانی گسترده‌اند.,ترنم همدلی,original,1405
دهم,انسانی,جامعه‌شناسی,جامعه‌شناسی ۱,فصل ۱,جامعه,,متوسط,هنجار اجتماعی چیست؟,الگوی مورد انتظار رفتار در یک جامعه,یک وسیله فنی,نوعی بیماری,عدد آماری,A,هنجارها انتظارات و قواعد رفتاری پذیرفته‌شده‌اند.,ترنم همدلی,original,1405
دهم,انسانی,فلسفه,فلسفه ۱,فصل ۱,استدلال,,متوسط,نتیجه معتبر در یک استدلال تابع چه چیزی است؟,صرفاً طول متن,رابطه منطقی مقدمات و نتیجه,تعداد کلمات,دست‌خط نویسنده,B,اعتبار منطقی به رابطه ساختاری مقدمات و نتیجه مربوط است.,ترنم همدلی,original,1405
دهم,انسانی,روان‌شناسی,روان‌شناسی ۱,فصل ۱,یادگیری,,متوسط,کدام مورد به تقویت خودنظم‌دهی تحصیلی کمک می‌کند؟,هدف‌گذاری و بازخورد,حذف برنامه,تعویق مستمر,بی‌توجهی به نتیجه,A,هدف‌گذاری و بازخورد از اجزای خودنظم‌دهی هستند.,ترنم همدلی,original,1405
ششم,,ریاضی,ریاضی ۶,فصل ۲,درصد,,آسان,اگر 10 درصد از 50 برابر چند باشد؟,2,5,10,15,B,10 درصد از 50 برابر 5 است.,ترنم همدلی,original,1405
ششم,,ریاضی,ریاضی ۶,فصل ۲,درصد,,آسان,اگر 10 درصد از 50 برابر چند باشد؟,2,5,10,15,B,10 درصد از 50 برابر 5 است.,ترنم همدلی,original,1405
ششم,,ریاضی,ریاضی ۶,فصل ۲,درصد,,آسان,اگر 10 درصد از 50 برابر چند باشد؟,2,5,10,15,B,10 درصد از 50 برابر 5 است.,ترنم همدلی,original,1405
ششم,,ریاضی,ریاضی ۶,فصل ۲,درصد,,آسان,اگر 10 درصد از 50 برابر چند باشد؟,2,5,10,15,B,10 درصد از 50 برابر 5 است.,ترنم همدلی,original,1405
ششم,,ریاضی,ریاضی ۶,فصل ۲,درصد,,آسان,اگر 10 درصد از 50 برابر چند باشد؟,2,5,10,15,B,10 درصد از 50 برابر 5 است.,ترنم همدلی,original,1405
ششم,,ریاضی,ریاضی ۶,فصل ۲,درصد,,آسان,اگر 10 درصد از 50 برابر چند باشد؟,2,5,10,15,B,10 درصد از 50 برابر 5 است.,ترنم همدلی,original,1405
نهم,,ریاضی,ریاضی ۹,فصل ۲,خط و معادله,,آسان,شیب خط y=2x+1 چند است؟,1,2,3,-2,B,ضریب x شیب خط است؛ برابر 2.,ترنم همدلی,original,1405
نهم,,ریاضی,ریاضی ۹,فصل ۲,خط و معادله,,آسان,شیب خط y=2x+1 چند است؟,1,2,3,-2,B,ضریب x شیب خط است؛ برابر 2.,ترنم همدلی,original,1405
نهم,,ریاضی,ریاضی ۹,فصل ۲,خط و معادله,,آسان,شیب خط y=2x+1 چند است؟,1,2,3,-2,B,ضریب x شیب خط است؛ برابر 2.,ترنم همدلی,original,1405
نهم,,ریاضی,ریاضی ۹,فصل ۲,خط و معادله,,آسان,شیب خط y=2x+1 چند است؟,1,2,3,-2,B,ضریب x شیب خط است؛ برابر 2.,ترنم همدلی,original,1405
نهم,,ریاضی,ریاضی ۹,فصل ۲,خط و معادله,,آسان,شیب خط y=2x+1 چند است؟,1,2,3,-2,B,ضریب x شیب خط است؛ برابر 2.,ترنم همدلی,original,1405
نهم,,ریاضی,ریاضی ۹,فصل ۲,خط و معادله,,آسان,شیب خط y=2x+1 چند است؟,1,2,3,-2,B,ضریب x شیب خط است؛ برابر 2.,ترنم همدلی,original,1405
دهم,تجربی,زیست‌شناسی,زیست‌شناسی ۱,فصل ۲,یاخته,,آسان,کدام اندامک در ساخت پروتئین نقش مستقیم دارد؟,ریبوزوم,میتوکندری,لیزوزوم,واکوئول,A,ریبوزوم محل ساخت پروتئین است.,ترنم همدلی,original,1405
دهم,تجربی,زیست‌شناسی,زیست‌شناسی ۱,فصل ۲,یاخته,,آسان,کدام اندامک در ساخت پروتئین نقش مستقیم دارد؟,ریبوزوم,میتوکندری,لیزوزوم,واکوئول,A,ریبوزوم محل ساخت پروتئین است.,ترنم همدلی,original,1405
دهم,تجربی,زیست‌شناسی,زیست‌شناسی ۱,فصل ۲,یاخته,,آسان,کدام اندامک در ساخت پروتئین نقش مستقیم دارد؟,ریبوزوم,میتوکندری,لیزوزوم,واکوئول,A,ریبوزوم محل ساخت پروتئین است.,ترنم همدلی,original,1405
دهم,تجربی,زیست‌شناسی,زیست‌شناسی ۱,فصل ۲,یاخته,,آسان,کدام اندامک در ساخت پروتئین نقش مستقیم دارد؟,ریبوزوم,میتوکندری,لیزوزوم,واکوئول,A,ریبوزوم محل ساخت پروتئین است.,ترنم همدلی,original,1405
دهم,تجربی,زیست‌شناسی,زیست‌شناسی ۱,فصل ۲,یاخته,,آسان,کدام اندامک در ساخت پروتئین نقش مستقیم دارد؟,ریبوزوم,میتوکندری,لیزوزوم,واکوئول,A,ریبوزوم محل ساخت پروتئین است.,ترنم همدلی,original,1405
دهم,تجربی,زیست‌شناسی,زیست‌شناسی ۱,فصل ۲,یاخته,,آسان,کدام اندامک در ساخت پروتئین نقش مستقیم دارد؟,ریبوزوم,میتوکندری,لیزوزوم,واکوئول,A,ریبوزوم محل ساخت پروتئین است.,ترنم همدلی,original,1405
